metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.82108,0.54856,0.57225,0.45707,0.01942,16.35946,1.42602,46,1770203288,,False,46,b0787_00000,2026-02-04_11-08-08,0.4185621738433838,39.487350940704346,1423,docker-desktop,192.168.65.3,39.487350940704346,46
0.82108,0.54856,0.57225,0.45707,0.01942,16.35946,1.42602,47,1770203288,,False,47,b0787_00000,2026-02-04_11-08-08,0.3861203193664551,39.8734712600708,1423,docker-desktop,192.168.65.3,39.8734712600708,47
0.82108,0.54856,0.57225,0.45707,0.01942,16.35946,1.42602,48,1770203289,,False,48,b0787_00000,2026-02-04_11-08-09,0.381488561630249,40.25495982170105,1423,docker-desktop,192.168.65.3,40.25495982170105,48
0.82108,0.54856,0.57225,0.45707,0.01942,16.35946,1.42602,49,1770203289,,False,49,b0787_00000,2026-02-04_11-08-09,0.3800680637359619,40.63502788543701,1423,docker-desktop,192.168.65.3,40.63502788543701,49
0.78188,0.55,0.56773,0.45417,0.02017,17.24446,1.50231,50,1770203289,,False,50,b0787_00000,2026-02-04_11-08-09,0.41721677780151367,41.052244663238525,1423,docker-desktop,192.168.65.3,41.052244663238525,50
0.78188,0.55,0.56773,0.45417,0.02017,17.24446,1.50231,51,1770203290,,False,51,b0787_00000,2026-02-04_11-08-10,0.41497039794921875,41.467215061187744,1423,docker-desktop,192.168.65.3,41.467215061187744,51
0.78188,0.55,0.56773,0.45417,0.02017,17.24446,1.50231,52,1770203291,,False,52,b0787_00000,2026-02-04_11-08-11,0.7794833183288574,42.2466983795166,1423,docker-desktop,192.168.65.3,42.2466983795166,52
0.78188,0.55,0.56773,0.45417,0.02017,17.24446,1.50231,53,1770203291,,False,53,b0787_00000,2026-02-04_11-08-11,0.46466684341430664,42.71136522293091,1423,docker-desktop,192.168.65.3,42.71136522293091,53
0.8465238240022636,0.7460967549961758,0.8754724375581832,0.6290750521993048,,,,53,1770203294,,False,54,b0787_00000,2026-02-04_11-08-14,2.7873752117156982,45.498740434646606,1423,docker-desktop,192.168.65.3,45.498740434646606,54
0.8465238240022636,0.7460967549961758,0.8754724375581832,0.6290750521993048,,,,,1770203295,,False,55,b0787_00000,2026-02-04_11-08-15,1.211463212966919,46.710203647613525,1423,docker-desktop,192.168.65.3,46.710203647613525,55
